"","SRR17255059","SRR17255046","SRR7907975","SRR17255087","SRR17255066","SRR17255045","SRR17255027","SRR17255092","SRR17255015","SRR17255057","SRR17255025","SRR17255080","SRR7907977","SRR17255085","SRR17255017","SRR17255011","SRR17255072","SRR17255078","SRR17255019","SRR17255034","SRR17255084","SRR17255077","SRR17255086","SRR17255024","SRR17255061","SRR17255033","SRR17255039","SRR17254988","SRR17254994","SRR17255082","SRR17255079","SRR17254985","SRR17255014","SRR7907967","SRR17255030","SRR17254982","SRR17254997","SRR17255021","SRR17255018","SRR17255065","SRR17255038","SRR17255076","SRR7907979","SRR17254984","SRR7907964","SRR17255042","SRR17255064","SRR17255050","SRR17255013","SRR17255055","SRR17254996","SRR17254990","SRR17255035","SRR17255004","SRR17255037","SRR17255031","SRR17255070","SRR17254987","SRR17255036","SRR17255029","SRR7907976","SRR17255067","SRR17255063","SRR17255051","SRR17255071","SRR17255041","SRR17255081","SRR17255008","SRR17255032","SRR17255073","SRR17255010","SRR17255090","SRR17254993","SRR17255040","SRR17255020","SRR17255083","SRR17255048","SRR17255060","SRR17255001","SRR17255091","SRR17255002","SRR17255062","SRR17255012","SRR7907981","SRR17255093","SRR17255054","SRR17255047","SRR17255069","SRR7907996","SRR17255009","SRR17255089","SRR7907978","SRR7907993","SRR7907989","SRR17255053","SRR17254986","SRR17255028","SRR7907968","SRR17255043","SRR17255056","SRR17255006","SRR7907985","SRR7907982","SRR7907963","SRR17255074","SRR7907998","SRR17255052","SRR17254981","SRR7907974","SRR17255026","SRR17255044","SRR17255016","SRR7907990","SRR17255088","SRR7907992","SRR7907991","SRR7907970","SRR7908002","SRR7907980","SRR17255003","SRR7907969","SRR17255005","SRR7907999","SRR17254995","SRR17255000","SRR7908001","SRR7907988","SRR17254983","SRR7907972","SRR17254989","SRR17254992","SRR7907994","SRR17255022","SRR7907965","SRR7907987","SRR7907983","SRR17255068","SRR7907966","SRR7907986","SRR7908000","SRR17255023","SRR7907971","SRR7907973","SRR7907997","SRR17255007","SRR17254998","SRR7907984","SRR17255075","SRR7907995","SRR17254999","SRR17255049","SRR17255058","SRR17254991","SRR17254980","SRR11092509","SRR16079612","SRR11092506","SRR16079611","SRR11092502","SRR16079619","SRR11092499","SRR16079613","SRR16079617","SRR11092512","SRR16079618"
"1664560",1884,15140,4048,10706,28431,4933,9810,6246,8780,74066,82174,4314,3561,4337,9252,4028,3552,8246,10164,47532,9029,4275,9148,5699,5540,4683,358948,6960,5013,4469,7757,6339,2829,2286,3418,2329,8740,4568,6114,65895,5322,15787,2057,24663,2632,7115,21641,3845,34333,5154,6264,4683,146225,7196,11873,4669,5361,4137,5518,61359,2138,3005,91648,4315,17256,11732,3523,3593,10578,3771,3400,1675,3662,2435,2985,7650,3571,2670,2604,9277,3307,14787,3451,3648,3570,3692,8243,3608,3580,5300,1187,2807,3236,2805,91229,11939,3561,2616,5922,4458,11552,2861,3206,2678,4672,2996,3194,1519,2436,2356,6351,4224,2394,1598,2478,2500,2479,2404,2288,5035,2363,3257,2763,5670,4349,2134,2480,1479,2239,5155,27779,2689,4166,1995,2417,2676,4275,1796,2473,2700,4960,2062,2090,2598,3453,4153,2483,5050,2456,3608,7407,7565,2608,1740,1525,219,1794,401,1336,1175,524,151,2974,895,505
"489632",43215,3314,302,672,281,28220,4919,2561,25230,619,895,337577,233,1722,602,1132,750,326,578,27441,1345,1565,357,683,275,7732,321,1061,13061,1929,2408,16433,232,177,469,675,2031,312,295,280,1999,350,144,1936,203,37068,292,2366,234,611,1049,244,3714,2376,358,1901,2842,4571,194,630,173,607,990,1121,348,3070,166,170,2587,176,204,5424,1138,104,130,410,244,204,198,878,130,681,28884,228,1084,3079,402,1181,205,210,2703,184,207,200,880,3556,15695,201,260,434,345,185,172,203,395,217,620,1511,179,1099,186,2515,159,2511,151,188,185,155,200,137,186,3408,195,1363,706,191,189,319,166,45941,266,171,248,180,163,168,148,180,162,169,525,167,147,165,362,305,184,214,150,1034,4700,163,218,1723,52,47,46,55,52,30,50,39,52,43,33
"2822368",56862,65728,7949,279523,145481,96074,58979,105811,245739,91883,83878,197818,8927,139863,149787,84525,64551,263930,90200,151116,76681,65741,281487,71258,142974,86165,114008,268416,81159,94400,332386,166274,55397,4309,70387,11433,47329,99093,185263,110226,145012,82834,4979,69720,6341,73650,35581,62543,190266,96618,66321,53856,95439,113618,128226,84312,251821,50019,72626,46431,4231,95364,65236,82309,61798,71420,98801,76826,142947,31848,41150,37320,76797,47252,34723,115467,83525,51391,54192,81353,49741,78966,101742,9401,57888,111667,178825,55171,9395,167156,33916,6768,8189,6877,135385,94837,142676,4747,123958,26733,47619,6912,8436,6525,71395,7482,68275,25948,5620,31644,160702,83448,5672,11695,6167,6149,5994,5604,5434,65303,5654,70010,6803,147482,84470,4436,6252,25371,3924,122993,138171,7000,132894,4361,6046,6756,139980,4134,5774,6469,98182,3994,4281,6466,61694,41565,6614,131291,6515,89806,56683,66425,45174,33900,604,273,1448,366,1144,593,615,209,603,967,263
"9606",52457,90429,94197,85347,118072,70269,178614,123023,34608,120181,222397,39543,74491,51838,111285,49797,56355,108629,121399,83487,70347,106120,78980,142183,70006,70356,115348,43971,41979,36781,94994,104034,59457,91491,80589,295469,63402,51524,160861,52080,72754,143492,98813,92527,57683,101753,108853,97876,38592,57981,67106,57005,75140,79260,143393,47631,41646,99265,39148,89005,53674,81871,72956,85340,65493,97513,53253,50086,36257,96482,65937,216545,60382,87290,63860,125585,54936,51186,61870,58155,46167,79357,50439,79070,48843,74181,62473,57858,61958,50075,181341,66916,68228,61568,70465,68376,48665,96863,130390,89932,60962,64008,73772,58362,70926,58668,72431,122109,53281,74196,50273,57437,56871,159594,55925,53901,73395,53886,51997,41312,73275,38632,59301,49355,44259,57844,63064,77325,91855,46669,60964,64190,52875,52370,62753,61876,53398,52517,56883,52376,38571,99833,54643,46818,94385,66356,59417,52509,50382,62299,74423,37622,57225,61054,30732,15324,44218,19325,55412,25021,54945,10408,20950,26447,12662
"1883",52367,114165,276821,149007,191213,193954,179693,165614,190002,163451,271587,255536,214648,107457,173747,113040,75333,240618,211231,155377,100700,155550,191259,267772,294171,270928,182755,279108,147127,68100,153107,205568,210818,149306,246212,131096,194979,195986,170203,111617,97430,223517,144512,221784,171746,116371,211361,146080,114882,127419,88213,205264,110633,208862,198016,86413,70036,217203,91907,188857,141690,178635,128149,133396,211759,111440,91182,142472,124273,178986,193081,91598,131012,173432,165430,142534,150525,144832,132144,125658,144470,150463,125931,193196,100335,175126,118890,128852,184308,152421,65400,179410,178774,178493,131642,158077,152402,171666,171159,165569,169577,168177,167357,166879,149097,165539,95853,62779,164166,110157,128023,129675,159725,98298,149530,154168,157739,157245,157103,76983,155311,105934,154080,102834,58735,149628,148193,73016,147325,132697,145478,145311,113412,143038,142613,142356,130498,140368,140367,140207,95906,140125,139656,139594,99000,112754,138484,128442,130488,111843,114655,116903,98341,73663,56379,60749,44158,56974,49932,55050,38639,50137,50054,39640,39166
"3074146",223404,57204,556,551,859,24242,78763,46997,2576,5380,12636,3617,427,2029,4866,841,9893,725,7123,9697,19677,26316,667,833,288,1512,3123,440,16472,20114,320,371,250,298,1236,355,15656,700,839,318,9708,758,289,31600,329,13564,500,39905,358,419,21183,736,45098,1495,2470,421,1287,260,475,5672,292,838,3545,13069,664,14831,236,178,21317,230,189,248,260,399,257,928,1084,1415,1113,289,206,6797,36764,388,19284,3127,3960,612,377,284,202,323,343,360,9984,408,16785,398,1603,4690,842,321,336,345,281,298,7946,329,377,16874,250,26698,256,241,310,333,329,295,350,233,306,265,327,1097,2241,296,332,506,351,874,274,293,1800,252,263,284,227,294,279,301,7309,315,258,316,4961,4102,313,638,279,17000,563,368,195,269,70,54,51,150,82,64,62,48,78,75,71
"374",20253,32654,212829,60873,47570,36253,56764,66273,27663,58621,74085,38601,166802,48586,48132,40881,40510,71596,57656,43734,36514,42596,57760,70185,44286,44479,57767,52369,32311,25300,52692,57060,36250,122082,47757,89805,38163,37476,53683,35722,39648,64815,103511,39222,128045,44144,51814,35995,37387,34929,25847,37323,41115,39926,59154,30061,32556,43517,31123,37821,107592,31560,33226,33373,42418,37538,31535,27427,38585,39846,43796,64090,32845,30340,32732,63230,34681,27336,26183,35910,28556,36229,28076,144736,40686,38783,39322,37179,140467,47087,42060,127332,127468,126227,37694,35700,32336,136974,61460,33135,48155,123045,130564,124636,38320,123808,30427,32778,114684,29154,36404,36407,107708,63693,113761,112061,119869,110413,105946,30403,113437,35796,109416,38799,28673,100377,106140,44869,106149,36183,44495,105572,32003,88915,103614,105401,35684,85659,101808,107027,28919,102889,101236,102806,41086,37877,98670,41503,100372,36304,36020,33040,29848,52473,21338,18841,36955,22162,25967,18736,32700,14470,21780,18135,15198
"2789327",46227,20199,8351,91096,44875,29205,87509,117238,84426,58666,32028,68221,15037,29694,62255,45030,25401,57936,81783,30160,30242,26753,52892,19403,36130,26221,130967,36455,31313,40900,34882,31118,45664,7510,23025,1662,27393,21350,37491,111334,51200,55229,8771,30167,11344,40798,19626,76923,64483,51494,27784,31428,28072,30338,99799,47622,41964,58817,196019,24100,3901,28759,47541,59411,21280,39300,24231,17615,49493,23724,33901,1244,30129,16073,18784,103501,35585,26912,28033,22009,24509,21526,52319,13753,34591,29316,61777,45185,13541,66315,853,10013,12494,6640,57058,33443,42775,7355,47426,67362,15968,8616,12365,9800,40080,13587,27856,960,10130,15927,35457,13149,5304,1248,9049,9445,10150,10207,8977,38219,10414,21313,11488,52649,28789,3233,8430,966,5906,38080,114214,10864,25499,4366,7446,10567,48362,4361,7776,11205,28637,6003,2941,10731,25289,36124,9971,33427,10028,46128,46442,49004,32453,1249,23034,190,9278,636,11104,4225,26449,220,2037,16636,1203
"356",40062,65067,172403,121574,99892,80980,118456,136236,62019,126703,153507,100023,161619,93313,101841,86079,78752,145386,122276,92299,72701,87025,120500,152820,100939,97110,119928,117243,75337,52170,108726,122394,79167,103066,104719,158691,81046,75784,110747,73626,78493,132287,109225,79494,132622,85599,102684,73772,75917,76229,52460,82148,81974,79905,116565,60320,67633,85715,61955,80507,92205,63221,65999,68001,88859,74569,62909,57314,89810,76345,90503,111616,63207,61285,65925,133154,74290,55803,54750,72589,59544,71813,62197,145365,81882,83356,76831,74886,142460,96191,75899,122288,133882,136922,76842,72002,67121,116224,119236,63677,98766,128503,128866,132881,78884,130867,62321,72331,119308,57210,71226,80501,119940,108500,115486,117357,130081,119814,114619,61963,126053,77283,117467,77626,57072,96903,117117,85294,99543,75412,91094,113176,66771,103193,111123,110298,71281,99634,107641,114203,61505,97030,91530,109879,79648,73589,105989,85108,103323,73510,74821,67680,58228,94119,33561,19793,37944,25049,35501,22283,28732,16548,24526,24194,16835
"400770",50447,35985,5374,68569,51245,60717,79041,79455,65214,62827,80925,171639,2273,51984,73142,47262,29452,84440,75523,64231,36380,50739,75331,79503,87861,74900,62298,96357,52488,31065,60196,68225,56262,4156,56555,10628,45547,47474,66031,39488,43381,67626,1588,51061,1871,47011,44426,49747,43029,56659,29920,54236,46523,57359,64847,35478,31931,45788,40859,51581,2846,38638,27465,43888,46138,44344,31077,34386,72270,27346,53150,9823,23353,37949,29952,63365,44167,29263,31932,38137,44910,44767,47424,2174,41997,58574,40241,36676,2102,56370,6956,1806,1942,1934,38564,48235,41620,4477,49916,28511,55102,1735,1903,1733,50873,1880,35212,5524,1780,24185,38771,50955,1580,7982,1608,1712,1756,1733,1718,40161,1731,44399,1807,34290,29263,2846,1664,5609,4040,40849,43314,1612,45575,1433,1583,1453,38023,1467,1568,1665,34804,3607,2598,1599,28197,32999,1652,47098,1430,46352,50268,38361,26202,11796,1755,243,1170,388,1379,491,500,191,1096,851,263
"2778082",904,1500,168127,3767,2336,1645,2425,2201,1667,2973,2530,1349,24189,1840,2741,1860,1638,3566,2582,1776,1820,1636,3974,2187,2059,1712,3350,2563,1496,1977,3096,3044,1491,86580,1438,1869,1473,2153,2963,2528,2415,2656,12118,1747,23727,2102,1767,1620,2515,2061,1303,1404,1820,1866,3342,1777,2265,1624,2147,1368,88327,1486,1831,1682,1702,1724,1541,1355,1529,1410,1666,1192,1640,1347,1365,3214,1734,1352,1306,1706,1522,1971,1152,28941,1708,1844,2568,1784,22771,2230,917,18487,21937,22500,2363,1919,1492,94045,3329,1351,1467,22978,24743,20791,1966,20985,1362,870,13606,1215,2250,1330,19695,1186,16392,17768,19636,13779,14335,1898,18883,1443,20365,2011,1809,91983,21279,1113,80316,2380,2654,17855,1685,15037,20862,21497,2249,14893,18863,18028,1691,79415,89863,17552,1604,1514,21389,2118,16500,1668,1654,1993,1466,1399,359,265,784,269,666,328,503,209,346,510,192
"1894999",1374,2621,89286,4960,4027,2764,4572,5395,1891,4523,6173,2589,154147,4394,3993,3264,3208,6299,4981,3542,3219,3544,4910,5597,3384,3426,4897,3856,2681,2069,4679,4610,2891,47372,3666,9003,3183,3222,4411,3066,3445,5610,97715,3328,131947,3688,4339,2894,3309,2575,2283,3017,3536,3226,5151,2433,2956,3661,2532,3072,46763,2669,2965,2836,3611,3187,2722,2245,2981,3463,3591,5901,2966,2602,2863,5227,2794,2305,2287,3137,2350,3185,2310,150027,3692,3113,3384,3191,167213,3936,4179,118134,159021,131031,3111,2862,2858,53184,5262,2885,3833,130776,131777,135117,2969,137029,2615,3114,106144,2575,3136,2843,116812,6577,112094,113437,133817,108110,104389,2513,136727,3072,122444,3518,2604,49473,122554,4499,45804,3084,3737,136700,2533,101317,115768,113782,3027,100129,110650,116464,2458,44465,47645,113874,3693,3356,107607,3288,121071,2831,2794,2757,2658,5407,3377,4052,6864,5260,3346,4159,2902,2724,5871,2240,3984
"2304594",601,5834,573,6733,2867,1283,1374,1973,176,1112,5667,516,400,5732,3806,1781,4581,11437,11146,7684,3609,5875,2526,13574,3113,3222,1233,2006,4163,1807,11585,9117,3840,277,1381,12823,1213,569,11349,1532,7293,5167,273,2973,270,1555,1122,2374,2279,1811,2022,679,3639,2373,1482,1266,11839,3120,505,1681,289,2366,894,2453,1814,1350,6473,900,8635,821,2922,5191,1851,720,813,1949,1018,1239,2044,2438,467,1108,2442,350,2373,2170,1047,5794,337,768,16318,314,308,359,1273,973,1169,317,4661,714,1573,346,307,312,1246,317,1149,164753,328,877,1209,11407,289,759,239,292,307,317,312,2576,311,6255,291,6976,2312,295,287,147700,298,826,725,279,1504,275,298,269,3018,252,298,291,2861,273,273,251,1479,917,241,1386,234,1260,876,538,1714,32047,51,52,63,56,61,46,46,41,48,57,63
